nickname,institute,confirmation_status,is_postdoc,avail_monday,avail_tuesday,avail_thursday,avail_friday,wants_ping_pong,ping_pong,wants_basketball,basketball,wants_running_sprints,running_sprints,wants_volleyball,volleyball,wants_chess,chess,wants_football,football,wants_tennis,tennis,wants_capture_the_flag,capture_the_flag,wants_spikeball,spikeball,wants_beer_pong,beer_pong,wants_foosball,foosball,num_sports,num_sports_not_avail,late_entry
Graceful Llama,USM,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,5,0,False
Qualified Buffalo,USM,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,5,0,False
Rewarding Ermine,ESO,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,3,2,False
Blank Tiffany,USM,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,2,0,False
Ideal Vaquita,IPP,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,4,0,False
Overjoyed Tapir,IPP,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False
Unwritten Saiga,ESO,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,6,0,False
Wide Lionfish,IPP,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2,0,False
Failing Muskrat,IPP,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,6,0,False
Frightening Avocet,IPP,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,3,0,False
Hasty Emu,IPP,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False
Excited Rabbit,IPP,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,False,5,4,False
Concrete Alpaca,MPA,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,2,1,False
Clever Wombat,IPP,False,False,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,3,0,False
Precious Deer,IPP,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,2,0,False
Trifling Tarpon,IPP,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,4,0,False
Reckless Swan,IPP,True,True,True,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,3,0,False
